id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233738,2016-05-14,+9,739,облачно,-,Ю 3м/с,+6,742,ясно,-,Ю 3м/с
233738,2016-05-15,+10,740,пасмурно,-,ЮВ 12м/с,+6,738,пасмурно,-,ЮВ 12м/с
233738,2016-05-16,+17,732,ясно,-,ЮВ 7м/с,+14,733,ясно,-,ЮВ 7м/с
233738,2016-05-17,+12,735,облачно,-,Ш,+7,736,облачно,-,Ш
233738,2016-05-18,+13,740,пасмурно,-,З 3м/с,+7,742,малооблачно,-,З 3м/с
233738,2016-05-19,+12,740,пасмурно,-,Ш,+7,741,пасмурно,-,Ш
233738,2016-05-20,+12,740,пасмурно,-,ЮВ 1м/с,+6,738,пасмурно,-,ЮВ 1м/с
233738,2016-05-21,+9,736,пасмурно,-,Ш,+8,736,малооблачно,-,Ш
233738,2016-05-22,+7,735,пасмурно,-,З 1м/с,+5,737,малооблачно,-,З 1м/с
233738,2016-05-23,+12,734,пасмурно,-,З 3м/с,+9,734,облачно,-,З 3м/с
233738,2016-05-24,+20,730,облачно,-,СЗ 3м/с,+13,733,ясно,-,СЗ 3м/с
233738,2016-05-25,+15,732,ясно,-,СЗ 1м/с,+11,731,малооблачно,-,СЗ 1м/с
233738,2016-05-26,+10,731,облачно,-,В 1м/с,+8,733,малооблачно,-,В 1м/с
233738,2016-05-27,+13,733,пасмурно,-,СВ 1м/с,+10,735,пасмурно,-,СВ 1м/с
233738,2016-05-28,+15,739,облачно,-,В 3м/с,+14,739,облачно,-,В 3м/с
233738,2016-05-29,+21,737,пасмурно,-,Ю 1м/с,+17,735,ясно,-,Ю 1м/с
233738,2016-05-30,+23,736,облачно,-,Ш,+18,736,малооблачно,-,Ш
233738,2016-05-31,+23,737,пасмурно,гроза,Ш,+19,737,ясно,-,Ш
233738,2016-06-01,+15,742,облачно,-,ЮВ 1м/с,-,-,-,-,-
233738,2016-06-02,+20,739,пасмурно,гроза,В 3м/с,+15,740,малооблачно,-,В 3м/с
233738,2016-06-03,+15,742,пасмурно,-,ЮВ 3м/с,+14,741,ясно,-,ЮВ 3м/с
233738,2016-06-04,+12,738,малооблачно,-,Ш,+11,739,пасмурно,-,Ш
233738,2016-06-05,+21,738,облачно,-,Ю 3м/с,+19,738,ясно,-,Ю 3м/с
233738,2016-06-06,+23,740,малооблачно,-,СВ 1м/с,+20,740,малооблачно,-,СВ 1м/с
233738,2016-06-07,+22,740,ясно,-,СВ 1м/с,+18,740,ясно,-,СВ 1м/с
233738,2016-06-08,+24,743,ясно,-,Ю 3м/с,+22,743,ясно,-,Ю 3м/с
233738,2016-06-09,+27,743,малооблачно,-,В 1м/с,+22,742,ясно,-,В 1м/с
233738,2016-06-10,+27,742,ясно,-,Ш,+23,740,ясно,-,Ш
233738,2016-06-11,+28,740,малооблачно,-,Ш,+19,740,малооблачно,-,Ш
